step,x,y,type,pole,arc_deg
0,0,0,start,0,0
1,37.5,37.5467,move,1,0
2,39.4169,39.5697,wrap,1,674.96
3,41.2249,41.6907,wrap,1,0
4,42.9188,43.9038,wrap,1,0
5,44.4941,46.2029,wrap,1,0
6,45.9464,48.5816,wrap,1,0
7,47.2716,51.0334,wrap,1,0
8,48.4661,53.5514,wrap,1,0
9,49.5265,56.1288,wrap,1,0
10,50.45,58.7583,wrap,1,0
11,51.2341,61.4327,wrap,1,0
12,51.8764,64.1447,wrap,1,0
13,52.3753,66.8867,wrap,1,0
14,52.7294,69.6511,wrap,1,0
15,52.9377,72.4303,wrap,1,0
16,52.9996,75.2166,wrap,1,0
17,52.9149,78.0023,wrap,1,0
18,52.6839,80.7797,wrap,1,0
19,52.3073,83.5411,wrap,1,0
20,51.786,86.2789,wrap,1,0
21,51.1215,88.9856,wrap,1,0
22,50.3156,91.6535,wrap,1,0
23,49.3706,94.2754,wrap,1,0
24,48.2891,96.844,wrap,1,0
25,47.0741,99.3522,wrap,1,0
26,45.7289,101.7931,wrap,1,0
27,44.2573,104.1598,wrap,1,0
28,42.6632,106.446,wrap,1,0
29,40.9512,108.6451,wrap,1,0
30,39.126,110.7513,wrap,1,0
31,37.1926,112.7586,wrap,1,0
32,35.1563,114.6615,wrap,1,0
33,33.0229,116.4547,wrap,1,0
34,30.7981,118.1333,wrap,1,0
35,28.4881,119.6926,wrap,1,0
36,26.0994,121.1283,wrap,1,0
37,23.6385,122.4365,wrap,1,0
38,21.1122,123.6135,wrap,1,0
39,18.5276,124.6561,wrap,1,0
40,15.8917,125.5614,wrap,1,0
41,13.2119,126.3268,wrap,1,0
42,10.4956,126.9504,wrap,1,0
43,7.7502,127.4303,wrap,1,0
44,4.9834,127.7652,wrap,1,0
45,2.2028,127.9542,wrap,1,0
46,-0.5838,127.9968,wrap,1,0
47,-3.3689,127.8928,wrap,1,0
48,-6.1446,127.6426,wrap,1,0
49,-8.9034,127.2468,wrap,1,0
50,-11.6375,126.7066,wrap,1,0
51,-14.3395,126.0233,wrap,1,0
52,-17.0017,125.199,wrap,1,0
53,-19.617,124.2359,wrap,1,0
54,-22.1781,123.1366,wrap,1,0
55,-24.6778,121.9042,wrap,1,0
56,-27.1093,120.5422,wrap,1,0
57,-29.4658,119.0541,wrap,1,0
58,-31.7408,117.4443,wrap,1,0
59,-33.9281,115.7171,wrap,1,0
60,-36.0215,113.8773,wrap,1,0
61,-38.0154,111.9301,wrap,1,0
62,-39.9041,109.8807,wrap,1,0
63,-41.6825,107.7348,wrap,1,0
64,-43.3456,105.4985,wrap,1,0
65,-44.8889,103.1778,wrap,1,0
66,-46.3081,100.7791,wrap,1,0
67,-47.5992,98.3092,wrap,1,0
68,-48.7586,95.7749,wrap,1,0
69,-49.7833,93.1831,wrap,1,0
70,-50.6703,90.541,wrap,1,0
71,-51.4172,87.856,wrap,1,0
72,-52.0219,85.1354,wrap,1,0
73,-52.4827,82.3867,wrap,1,0
74,-52.7985,79.6177,wrap,1,0
75,-52.9682,76.8359,wrap,1,0
76,-52.9915,74.049,wrap,1,0
77,-52.8682,71.2647,wrap,1,0
78,-52.5988,68.4908,wrap,1,0
79,-52.1839,65.7348,wrap,1,0
80,-51.6247,63.0045,wrap,1,0
81,-50.9227,60.3073,wrap,1,0
82,-50.08,57.6508,wrap,1,0
83,-49.0988,55.0423,wrap,1,0
84,-47.9818,52.4889,wrap,1,0
85,-46.7321,49.9978,wrap,1,0
86,-45.3532,47.5758,wrap,1,0
87,-43.8489,45.2297,wrap,1,0
88,-42.2234,42.9658,wrap,1,0
89,-40.4811,40.7906,wrap,1,0
90,-38.6268,38.7099,wrap,1,0
91,-36.6658,36.7296,wrap,1,0
92,-34.6033,34.8551,wrap,1,0
93,-32.4452,33.0917,wrap,1,0
94,-30.1974,31.4441,wrap,1,0
95,-27.866,29.9169,wrap,1,0
96,-25.4576,28.5144,wrap,1,0
97,-22.9789,27.2405,wrap,1,0
98,-20.4365,26.0986,wrap,1,0
99,-17.8377,25.0919,wrap,1,0
100,-15.1895,24.2233,wrap,1,0
101,-12.4994,23.495,wrap,1,0
102,-9.7746,22.9092,wrap,1,0
