step,x,y,type,pole,arc_deg
0,0,0,start,0,0
1,36.772,30.1467,move,1,0
2,39.0724,32.1357,wrap,1,679.02
3,55.2836,57.4581,wrap,1,0
4,56.6382,87.4946,wrap,1,0
5,42.7721,114.1733,wrap,1,0
6,17.4115,130.3248,wrap,1,0
7,-12.6281,131.6086,wrap,1,0
8,-39.2741,117.6796,wrap,1,0
9,-55.3657,92.2811,wrap,1,0
10,-56.5787,62.2385,wrap,1,0
11,-42.5869,35.6254,wrap,1,0
12,-17.1505,19.5937,wrap,1,0
13,12.8948,18.4516,wrap,1,0
14,39.4749,32.5061,wrap,1,0
15,55.4466,57.9802,wrap,1,0
16,56.5179,88.0281,wrap,1,0
17,42.4007,114.5749,wrap,1,0
18,16.8891,130.4866,wrap,1,0
19,-13.1613,131.487,wrap,1,0
20,-39.6748,117.3073,wrap,1,0
21,-55.5262,91.7582,wrap,1,0
22,-56.4558,61.7055,wrap,1,0
23,-42.2137,35.2256,wrap,1,0
24,-16.6272,19.4344,wrap,1,0
25,-1.6565,17.0237,wrap,1,0
26,173.3435,12.0237,move,4,0
27,176.3858,12.0166,wrap,4,586.11
28,205.2411,20.5078,wrap,4,0
29,225.9632,42.3097,wrap,4,0
30,232.979,71.5588,wrap,4,0
31,224.4018,100.3886,wrap,4,0
32,202.5381,121.0456,wrap,4,0
33,173.2683,127.9741,wrap,4,0
34,144.4642,119.3109,wrap,4,0
35,123.8725,97.3857,wrap,4,0
36,117.0313,68.0953,wrap,4,0
37,125.7804,39.3172,wrap,4,0
38,147.7669,18.791,wrap,4,0
39,177.0776,12.0372,wrap,4,0
40,205.8295,20.8722,wrap,4,0
41,226.29,42.9198,wrap,4,0
42,232.9563,72.2505,wrap,4,0
43,224.0356,100.9759,wrap,4,0
44,201.9271,121.3705,wrap,4,0
45,172.5767,127.9494,wrap,4,0
46,143.878,118.943,wrap,4,0
47,134.3658,111.3867,wrap,4,0
48,-140.6342,-158.6133,move,2,0
49,-142.7445,-160.7966,wrap,2,720.0
50,-156.6195,-187.4212,wrap,2,0
51,-155.3234,-217.4162,wrap,2,0
52,-139.2034,-242.7445,wrap,2,0
53,-112.5788,-256.6195,wrap,2,0
54,-82.5838,-255.3234,wrap,2,0
55,-57.2555,-239.2034,wrap,2,0
56,-43.3805,-212.5788,wrap,2,0
57,-44.6766,-182.5838,wrap,2,0
58,-60.7966,-157.2555,wrap,2,0
59,-87.4212,-143.3805,wrap,2,0
60,-117.4162,-144.6766,wrap,2,0
61,-142.7445,-160.7966,wrap,2,0
62,-156.6195,-187.4212,wrap,2,0
63,-155.3234,-217.4162,wrap,2,0
64,-139.2034,-242.7445,wrap,2,0
65,-112.5788,-256.6195,wrap,2,0
66,-82.5838,-255.3234,wrap,2,0
67,-57.2555,-239.2034,wrap,2,0
68,-43.3805,-212.5788,wrap,2,0
69,-44.6766,-182.5838,wrap,2,0
70,-60.7966,-157.2555,wrap,2,0
71,-87.4212,-143.3805,wrap,2,0
72,-117.4162,-144.6766,wrap,2,0
73,-140.6342,-158.6133,wrap,2,0
