step,x,y,type,pole,arc_deg
0,-120,200,start,0,0
1,-80.2997,155.1125,move,3,0
2,-78.5081,152.9761,wrap,3,397.91
3,-76.8314,150.7485,wrap,3,0
4,-75.2741,148.4358,wrap,3,0
5,-73.8406,146.0443,wrap,3,0
6,-72.5348,143.5808,wrap,3,0
7,-71.3604,141.0521,wrap,3,0
8,-70.3206,138.465,wrap,3,0
9,-69.4183,135.8269,wrap,3,0
10,-68.656,133.145,wrap,3,0
11,-68.0357,130.4267,wrap,3,0
12,-67.5593,127.6795,wrap,3,0
13,-67.228,124.9111,wrap,3,0
14,-67.0428,122.1291,wrap,3,0
15,-67.0041,119.3412,wrap,3,0
16,-67.1121,116.5551,wrap,3,0
17,-67.3664,113.7786,wrap,3,0
18,-67.7664,111.0192,wrap,3,0
19,-68.311,108.2848,wrap,3,0
20,-68.9986,105.5827,wrap,3,0
21,-69.8274,102.9206,wrap,3,0
22,-70.795,100.3057,wrap,3,0
23,-71.8988,97.7453,wrap,3,0
24,-73.1357,95.2465,wrap,3,0
25,-74.5023,92.8162,wrap,3,0
26,-75.9948,90.4612,wrap,3,0
27,-77.6091,88.1879,wrap,3,0
28,-79.3407,86.0026,wrap,3,0
29,-81.1849,83.9114,wrap,3,0
30,-83.1364,81.9201,wrap,3,0
31,-85.19,80.0342,wrap,3,0
32,-87.3399,78.2589,wrap,3,0
33,-89.5802,76.5991,wrap,3,0
34,-91.9047,75.0594,wrap,3,0
35,-94.307,73.6441,wrap,3,0
36,-96.7803,72.3571,wrap,3,0
37,-99.3179,71.2019,wrap,3,0
38,-101.9128,70.1818,wrap,3,0
39,-104.5577,69.2996,wrap,3,0
40,-107.2453,68.5576,wrap,3,0
41,-109.9682,67.9581,wrap,3,0
42,-112.719,67.5025,wrap,3,0
43,-115.4898,67.1923,wrap,3,0
44,-118.2731,67.0281,wrap,3,0
45,-121.0613,67.0106,wrap,3,0
46,-123.8464,67.1398,wrap,3,0
47,-126.621,67.4152,wrap,3,0
48,-129.3772,67.8361,wrap,3,0
49,-132.1074,68.4015,wrap,3,0
50,-134.8042,69.1096,wrap,3,0
51,-137.46,69.9585,wrap,3,0
52,-140.0674,70.946,wrap,3,0
53,-142.6193,72.0692,wrap,3,0
54,-145.1087,73.325,wrap,3,0
55,-147.5285,74.71,wrap,3,0
56,-149.8721,76.2204,wrap,3,0
57,-152.1331,77.8519,wrap,3,0
58,-154.3052,79.6001,wrap,3,0
59,-156.3823,81.46,wrap,3,0
60,-158.3587,83.4267,wrap,3,0
61,-160.229,85.4945,wrap,3,0
62,-161.9879,87.6578,wrap,3,0
63,-163.6306,89.9107,wrap,3,0
64,-165.1526,92.2468,wrap,3,0
65,-166.5497,94.6597,wrap,3,0
66,-167.8179,97.1428,wrap,3,0
67,-168.9537,99.6891,wrap,3,0
68,-169.9541,102.2916,wrap,3,0
69,-170.8162,104.9431,wrap,3,0
70,-171.5378,107.6363,wrap,3,0
71,-172.1166,110.3637,wrap,3,0
72,-172.5513,113.1178,wrap,3,0
73,-172.8405,115.891,wrap,3,0
74,-172.9834,118.6755,wrap,3,0
75,-172.9798,121.4636,wrap,3,0
76,-172.8295,124.2477,wrap,3,0
77,-172.533,127.0201,wrap,3,0
78,-172.0912,129.773,wrap,3,0
79,-171.5051,132.4989,wrap,3,0
80,-170.7765,135.1902,wrap,3,0
81,-169.9074,137.8395,wrap,3,0
82,-168.9002,140.4393,wrap,3,0
83,-167.7577,142.9827,wrap,3,0
84,-166.483,145.4624,wrap,3,0
85,-165.0796,147.8716,wrap,3,0
86,-163.5515,150.2037,wrap,3,0
87,-161.9029,152.4523,wrap,3,0
88,-160.1383,154.611,wrap,3,0
89,-158.2626,156.6739,wrap,3,0
90,-156.281,158.6353,wrap,3,0
91,-154.199,160.4899,wrap,3,0
92,-152.0224,162.2323,wrap,3,0
93,-149.7571,163.8579,wrap,3,0
94,-147.4095,165.3621,wrap,3,0
95,-144.986,166.7407,wrap,3,0
96,-142.4934,167.9901,wrap,3,0
97,-139.9386,169.1066,wrap,3,0
98,-137.3285,170.0871,wrap,3,0
99,-134.6705,170.9291,wrap,3,0
100,-131.9719,171.6302,wrap,3,0
101,-129.2402,172.1883,wrap,3,0
102,-126.4829,172.602,wrap,3,0
103,-123.7077,172.8702,wrap,3,0
104,-120.9221,172.992,wrap,3,0
105,-118.1341,172.9671,wrap,3,0
106,-115.3512,172.7957,wrap,3,0
107,-112.5812,172.4782,wrap,3,0
108,-109.8317,172.0154,wrap,3,0
109,-107.1103,171.4087,wrap,3,0
110,-104.4246,170.6597,wrap,3,0
111,-101.7821,169.7705,wrap,3,0
112,-99.1899,168.7436,wrap,3,0
113,-96.6553,167.5818,wrap,3,0
114,-94.1854,166.2883,wrap,3,0
115,-91.7868,164.8667,wrap,3,0
116,-89.4664,163.3209,wrap,3,0
117,-87.2305,161.6552,wrap,3,0
118,-85.0852,159.8743,wrap,3,0
119,-83.0366,157.983,wrap,3,0
120,-81.0903,155.9865,wrap,3,0
121,-79.2516,153.8905,wrap,3,0
122,-77.5257,151.7007,wrap,3,0
123,-75.9174,149.4232,wrap,3,0
124,-74.4311,147.0642,wrap,3,0
125,-73.0709,144.6304,wrap,3,0
126,-71.8405,142.1283,wrap,3,0
127,-70.7435,139.5651,wrap,3,0
128,-69.7827,136.9477,wrap,3,0
129,-68.9609,134.2834,wrap,3,0
130,-68.2804,131.5795,wrap,3,0
131,-67.743,128.8436,wrap,3,0
132,-67.3503,126.0833,wrap,3,0
133,-67.1032,123.306,wrap,3,0
134,-47.1032,-196.694,move,2,0
135,-47.0026,-199.4725,wrap,2,622.27
136,-47.0479,-202.2526,wrap,2,0
137,-47.2389,-205.0264,wrap,2,0
138,-47.5751,-207.7864,wrap,2,0
139,-48.0556,-210.525,wrap,2,0
140,-48.679,-213.2346,wrap,2,0
141,-49.4437,-215.9078,wrap,2,0
142,-50.3475,-218.5373,wrap,2,0
143,-51.388,-221.1157,wrap,2,0
144,-52.5622,-223.6359,wrap,2,0
145,-53.867,-226.0912,wrap,2,0
146,-55.2988,-228.4746,wrap,2,0
