step,x,y,type,pole,arc_deg
0,0,0,start,0,0
1,39.9474,-37.95,move,3,0
2,42.0981,-40.1032,wrap,3,402.89
3,56.422,-66.563,wrap,3,0
4,55.5621,-96.6388,wrap,3,0
5,39.7497,-122.2369,wrap,3,0
6,13.2402,-136.4686,wrap,3,0
7,-16.8325,-135.5038,wrap,3,0
8,-42.3753,-119.6022,wrap,3,0
9,-56.5144,-93.0432,wrap,3,0
10,-55.4447,-62.9741,wrap,3,0
11,-39.4542,-37.4868,wrap,3,0
12,-12.846,-23.4405,wrap,3,0
13,17.2192,-24.615,wrap,3,0
14,42.6505,-40.6943,wrap,3,0
15,56.604,-67.3513,wrap,3,0
16,57.887,-76.3821,wrap,3,0
17,77.887,-396.3821,move,2,0
18,77.9971,-399.4228,wrap,2,622.27
19,70.4851,-428.5526,wrap,2,0
20,49.3917,-450.0013,wrap,2,0
21,20.3914,-457.9987,wrap,2,0
22,-8.7142,-450.3934,wrap,2,0
23,-30.0952,-429.2314,wrap,2,0
24,-37.9996,-400.2056,wrap,2,0
25,-30.3012,-371.1245,wrap,2,0
26,-9.0708,-349.8115,wrap,2,0
27,19.9802,-342.0,wrap,2,0
28,49.0364,-349.7916,wrap,2,0
29,70.2814,-371.0901,wrap,2,0
30,77.9998,-400.1659,wrap,2,0
31,70.1151,-429.1971,wrap,2,0
32,48.7487,-450.3737,wrap,2,0
33,19.6483,-457.9989,wrap,2,0
34,-9.3575,-450.0214,wrap,2,0
35,-30.4656,-428.5871,wrap,2,0
36,-37.9975,-399.4625,wrap,2,0
37,-29.9271,-370.4824,wrap,2,0
38,-8.4253,-349.4431,wrap,2,0
39,8.6253,-343.1263,wrap,2,0
40,258.6253,-293.1263,move,5,0
41,261.6304,-292.6071,wrap,5,647.79
42,291.5703,-296.1602,wrap,5,0
43,315.6815,-314.262,wrap,5,0
44,327.4485,-342.021,wrap,5,0
45,323.6918,-371.936,wrap,5,0
46,305.4264,-395.9235,wrap,5,0
47,277.5881,-407.5015,wrap,5,0
48,247.6993,-403.5414,wrap,5,0
49,223.8366,-385.1132,wrap,5,0
50,212.4482,-357.1968,wrap,5,0
51,216.6116,-327.3356,wrap,5,0
52,235.2016,-303.5988,wrap,5,0
53,263.1948,-292.4006,wrap,5,0
54,293.027,-296.767,wrap,5,0
55,316.6368,-315.518,wrap,5,0
56,327.6443,-343.5868,wrap,5,0
57,323.0752,-373.3886,wrap,5,0
58,304.164,-396.8703,wrap,5,0
59,276.021,-407.6866,wrap,5,0
60,246.251,-402.9149,wrap,5,0
61,222.8984,-383.8444,wrap,5,0
62,212.2737,-355.6285,wrap,5,0
63,212.3709,-343.4512,wrap,5,0
64,237.3709,-123.4512,move,4,0
65,237.7935,-120.4386,wrap,4,625.15
66,250.2742,-93.073,wrap,4,0
67,274.7824,-75.6378,wrap,4,0
68,304.7275,-72.8215,wrap,4,0
69,332.0567,-85.3816,wrap,4,0
70,349.4207,-109.9403,wrap,4,0
71,352.15,-139.8935,wrap,4,0
72,339.5106,-167.1861,wrap,4,0
73,314.9016,-184.4787,wrap,4,0
74,284.9406,-187.121,wrap,4,0
75,257.6848,-174.4025,wrap,4,0
76,240.4638,-149.7433,wrap,4,0
77,237.9084,-119.7748,wrap,4,0
78,250.7061,-92.5561,wrap,4,0
79,275.4151,-75.4067,wrap,4,0
80,305.3909,-72.9384,wrap,4,0
81,332.5724,-85.815,wrap,4,0
82,349.65,-110.5737,wrap,4,0
83,352.0312,-140.5566,wrap,4,0
84,339.0757,-167.7005,wrap,4,0
85,314.2675,-184.7062,wrap,4,0
86,293.3435,-187.9763,wrap,4,0
87,118.3435,-182.9763,move,1,0
88,115.3081,-182.8099,wrap,1,594.67
89,87.0034,-172.6993,wrap,1,0
90,67.5598,-149.7794,wrap,1,0
91,62.1985,-120.2052,wrap,1,0
92,72.3595,-91.9186,wrap,1,0
93,95.314,-72.5157,wrap,1,0
94,124.8977,-67.2072,wrap,1,0
95,153.1662,-77.4185,wrap,1,0
96,172.5282,-100.4075,wrap,1,0
97,177.784,-130.0006,wrap,1,0
98,167.5224,-158.2509,wrap,1,0
99,144.499,-177.5719,wrap,1,0
