step,x,y,type,pole,arc_deg
0,0,0,start,0,0
1,-36.882,44.28,move,1,0
2,-38.44,46.2534,wrap,1,690.35
3,-39.8925,48.3056,wrap,1,0
4,-41.2355,50.4311,wrap,1,0
5,-42.4654,52.624,wrap,1,0
6,-43.5788,54.8783,wrap,1,0
7,-44.5727,57.1878,wrap,1,0
8,-45.4442,59.5461,wrap,1,0
9,-46.1911,61.9469,wrap,1,0
10,-46.8112,64.3835,wrap,1,0
11,-47.3029,66.8492,wrap,1,0
12,-47.6648,69.3373,wrap,1,0
13,-47.8959,71.8409,wrap,1,0
14,-47.9956,74.3531,wrap,1,0
15,-47.9637,76.8672,wrap,1,0
16,-47.8001,79.3761,wrap,1,0
17,-47.5054,81.873,wrap,1,0
18,-47.0803,84.3511,wrap,1,0
19,-46.5261,86.8035,wrap,1,0
20,-45.8442,89.2235,wrap,1,0
21,-45.0365,91.6045,wrap,1,0
22,-44.1053,93.94,wrap,1,0
23,-43.0531,96.2234,wrap,1,0
24,-41.8827,98.4487,wrap,1,0
25,-40.5974,100.6096,wrap,1,0
26,-39.2007,102.7002,wrap,1,0
27,-37.6965,104.7149,wrap,1,0
28,-36.0889,106.648,wrap,1,0
29,-34.3822,108.4943,wrap,1,0
30,-32.5812,110.2486,wrap,1,0
31,-30.6908,111.9063,wrap,1,0
32,-28.7162,113.4627,wrap,1,0
33,-26.6628,114.9136,wrap,1,0
34,-24.5362,116.255,wrap,1,0
35,-22.3424,117.4832,wrap,1,0
36,-20.0872,118.5948,wrap,1,0
37,-17.7769,119.5868,wrap,1,0
38,-15.4179,120.4565,wrap,1,0
39,-13.0165,121.2014,wrap,1,0
40,-10.5794,121.8196,wrap,1,0
41,-8.1134,122.3093,wrap,1,0
42,-5.625,122.6693,wrap,1,0
43,-3.1212,122.8984,wrap,1,0
44,-0.6089,122.9961,wrap,1,0
45,1.9052,122.9622,wrap,1,0
46,4.414,122.7966,wrap,1,0
47,6.9107,122.4999,wrap,1,0
48,9.3884,122.0729,wrap,1,0
49,11.8403,121.5167,wrap,1,0
50,14.2598,120.8329,wrap,1,0
51,16.6402,120.0234,wrap,1,0
52,18.9749,119.0903,wrap,1,0
53,21.2575,118.0362,wrap,1,0
54,23.4818,116.8641,wrap,1,0
55,25.6417,115.5771,wrap,1,0
56,27.7313,114.1788,wrap,1,0
57,29.7447,112.673,wrap,1,0
58,31.6765,111.0638,wrap,1,0
59,33.5215,109.3556,wrap,1,0
60,35.2744,107.5533,wrap,1,0
61,36.9306,105.6615,wrap,1,0
62,38.4855,103.6857,wrap,1,0
63,39.9347,101.6312,wrap,1,0
64,41.2744,99.5036,wrap,1,0
65,42.5008,97.3087,wrap,1,0
66,43.6107,95.0527,wrap,1,0
67,44.6008,92.7416,wrap,1,0
68,45.4686,90.3819,wrap,1,0
69,46.2117,87.9799,wrap,1,0
70,46.828,85.5424,wrap,1,0
71,47.3157,83.0759,wrap,1,0
72,47.6737,80.5872,wrap,1,0
73,47.9009,78.0833,wrap,1,0
74,47.9966,75.5708,wrap,1,0
75,47.9607,73.0568,wrap,1,0
76,47.7931,70.5482,wrap,1,0
77,47.4944,68.0517,wrap,1,0
78,47.0655,65.5743,wrap,1,0
79,46.5073,63.1228,wrap,1,0
80,45.8216,60.7039,wrap,1,0
81,45.0102,58.3242,wrap,1,0
82,44.0753,55.9902,wrap,1,0
83,43.0194,53.7084,wrap,1,0
84,41.8455,51.485,wrap,1,0
85,40.5568,49.3261,wrap,1,0
86,39.1568,47.2377,wrap,1,0
87,37.6494,45.2255,wrap,1,0
88,36.0387,43.2949,wrap,1,0
89,34.3291,41.4513,wrap,1,0
90,32.5253,39.6998,wrap,1,0
91,30.6323,38.0451,wrap,1,0
92,28.6552,36.4918,wrap,1,0
93,26.5995,35.0442,wrap,1,0
94,24.4709,33.7062,wrap,1,0
95,22.2751,32.4815,wrap,1,0
96,20.0181,31.3735,wrap,1,0
97,17.7063,30.3851,wrap,1,0
98,15.3459,29.5192,wrap,1,0
99,12.9433,28.778,wrap,1,0
100,10.5053,28.1637,wrap,1,0
101,8.0384,27.6779,wrap,1,0
102,5.5495,27.3219,wrap,1,0
103,3.0453,27.0967,wrap,1,0
104,0.5328,27.003,wrap,1,0
