step,x,y,type,pole,arc_deg
0,0,0,start,0,0
1,-36.882,44.28,move,1,0
2,-38.44,46.2534,wrap,1,690.35
3,-47.6648,69.3373,wrap,1,0
4,-44.1053,93.94,wrap,1,0
5,-28.7162,113.4627,wrap,1,0
6,-5.625,122.6693,wrap,1,0
7,18.9749,119.0903,wrap,1,0
8,38.4855,103.6857,wrap,1,0
9,47.6737,80.5872,wrap,1,0
10,44.0753,55.9902,wrap,1,0
11,28.6552,36.4918,wrap,1,0
12,5.5495,27.3219,wrap,1,0
13,-19.0447,30.9398,wrap,1,0
14,-38.5308,46.3753,wrap,1,0
15,-47.6825,69.4883,wrap,1,0
16,-44.0451,94.0796,wrap,1,0
17,-28.5942,113.5535,wrap,1,0
18,-5.474,122.6869,wrap,1,0
19,19.1145,119.03,wrap,1,0
20,38.5761,103.5637,wrap,1,0
21,47.6912,80.4362,wrap,1,0
22,44.0148,55.8507,wrap,1,0
23,28.5331,36.4013,wrap,1,0
24,5.3984,27.3045,wrap,1,0
25,-16.8539,30.0562,wrap,1,0
26,-136.8539,75.0562,move,3,0
27,-139.183,75.9999,wrap,3,540.0
28,-158.613,91.4863,wrap,3,0
29,-167.6967,114.6129,wrap,3,0
30,-164.0001,139.183,wrap,3,0
31,-148.5137,158.613,wrap,3,0
32,-125.3871,167.6967,wrap,3,0
33,-100.817,164.0001,wrap,3,0
34,-81.387,148.5137,wrap,3,0
35,-72.3033,125.3871,wrap,3,0
36,-75.9999,100.817,wrap,3,0
37,-91.4863,81.387,wrap,3,0
38,-114.6129,72.3033,wrap,3,0
39,-139.183,75.9999,wrap,3,0
40,-158.613,91.4863,wrap,3,0
41,-167.6967,114.6129,wrap,3,0
42,-164.0001,139.183,wrap,3,0
43,-148.5137,158.613,wrap,3,0
44,-125.3871,167.6967,wrap,3,0
45,-103.1461,164.9438,wrap,3,0
46,16.8539,119.9438,move,1,0
47,19.183,119.0001,wrap,1,540.0
48,38.613,103.5137,wrap,1,0
49,47.6967,80.3871,wrap,1,0
50,44.0001,55.817,wrap,1,0
51,28.5137,36.387,wrap,1,0
52,5.3871,27.3033,wrap,1,0
53,-19.183,30.9999,wrap,1,0
54,-38.613,46.4863,wrap,1,0
55,-47.6967,69.6129,wrap,1,0
56,-44.0001,94.183,wrap,1,0
57,-28.5137,113.613,wrap,1,0
58,-5.3871,122.6967,wrap,1,0
59,19.183,119.0001,wrap,1,0
60,38.613,103.5137,wrap,1,0
61,47.6967,80.3871,wrap,1,0
62,44.0001,55.817,wrap,1,0
63,28.5137,36.387,wrap,1,0
64,5.3871,27.3033,wrap,1,0
65,-16.8539,30.0562,wrap,1,0
66,-136.8539,75.0562,move,3,0
67,-139.183,75.9999,wrap,3,540.0
68,-158.613,91.4863,wrap,3,0
69,-167.6967,114.6129,wrap,3,0
70,-164.0001,139.183,wrap,3,0
71,-148.5137,158.613,wrap,3,0
72,-125.3871,167.6967,wrap,3,0
73,-100.817,164.0001,wrap,3,0
74,-81.387,148.5137,wrap,3,0
75,-72.3033,125.3871,wrap,3,0
76,-75.9999,100.817,wrap,3,0
77,-91.4863,81.387,wrap,3,0
78,-114.6129,72.3033,wrap,3,0
79,-139.183,75.9999,wrap,3,0
80,-158.613,91.4863,wrap,3,0
81,-167.6967,114.6129,wrap,3,0
82,-164.0001,139.183,wrap,3,0
83,-148.5137,158.613,wrap,3,0
84,-125.3871,167.6967,wrap,3,0
85,-103.1461,164.9438,wrap,3,0
86,16.8539,119.9438,move,1,0
87,19.183,119.0001,wrap,1,540.0
88,38.613,103.5137,wrap,1,0
89,47.6967,80.3871,wrap,1,0
90,44.0001,55.817,wrap,1,0
91,28.5137,36.387,wrap,1,0
92,5.3871,27.3033,wrap,1,0
93,-19.183,30.9999,wrap,1,0
94,-38.613,46.4863,wrap,1,0
95,-47.6967,69.6129,wrap,1,0
96,-44.0001,94.183,wrap,1,0
97,-28.5137,113.613,wrap,1,0
98,-5.3871,122.6967,wrap,1,0
99,19.183,119.0001,wrap,1,0
100,38.613,103.5137,wrap,1,0
101,47.6967,80.3871,wrap,1,0
102,44.0001,55.817,wrap,1,0
103,28.5137,36.387,wrap,1,0
104,5.3871,27.3033,wrap,1,0
