step,x,y,type,pole,arc_deg
0,-120,-100,start,0,0
1,-62.9026,-169.5405,move,2,0
2,-61.3568,-171.5271,wrap,2,658.08
3,-59.9174,-173.592,wrap,2,0
4,-58.5881,-175.7295,wrap,2,0
5,-57.3728,-177.9338,wrap,2,0
6,-56.2746,-180.1987,wrap,2,0
7,-55.2967,-182.5181,wrap,2,0
8,-54.4418,-184.8856,wrap,2,0
9,-53.7121,-187.2946,wrap,2,0
10,-53.1097,-189.7385,wrap,2,0
11,-52.6362,-192.2107,wrap,2,0
12,-52.293,-194.7043,wrap,2,0
13,-52.081,-197.2125,wrap,2,0
14,-52.0008,-199.7283,wrap,2,0
15,-52.0525,-202.2449,wrap,2,0
16,-52.2361,-204.7553,wrap,2,0
17,-52.5511,-207.2526,wrap,2,0
18,-52.9965,-209.73,wrap,2,0
19,-53.5712,-212.1807,wrap,2,0
20,-54.2736,-214.5978,wrap,2,0
21,-55.1017,-216.9748,wrap,2,0
22,-56.0533,-219.3051,wrap,2,0
23,-57.1257,-221.5823,wrap,2,0
24,-58.3161,-223.8002,wrap,2,0
25,-59.621,-225.9526,wrap,2,0
26,-61.037,-228.0337,wrap,2,0
27,-62.5602,-230.0376,wrap,2,0
28,-64.1863,-231.959,wrap,2,0
29,-65.9109,-233.7925,wrap,2,0
30,-67.7292,-235.533,wrap,2,0
31,-69.6363,-237.1758,wrap,2,0
32,-71.6268,-238.7164,wrap,2,0
33,-73.6954,-240.1506,wrap,2,0
34,-75.8364,-241.4743,wrap,2,0
35,-78.0437,-242.684,wrap,2,0
36,-80.3115,-243.7763,wrap,2,0
37,-82.6334,-244.7482,wrap,2,0
38,-85.0031,-245.5971,wrap,2,0
39,-87.414,-246.3205,wrap,2,0
40,-89.8595,-246.9166,wrap,2,0
41,-92.3329,-247.3837,wrap,2,0
42,-94.8273,-247.7205,wrap,2,0
43,-97.3361,-247.926,wrap,2,0
44,-99.8521,-247.9998,wrap,2,0
45,-102.3685,-247.9415,wrap,2,0
46,-104.8784,-247.7514,wrap,2,0
47,-107.375,-247.4301,wrap,2,0
48,-109.8512,-246.9782,wrap,2,0
49,-112.3003,-246.3972,wrap,2,0
50,-114.7156,-245.6886,wrap,2,0
51,-117.0905,-244.8544,wrap,2,0
52,-119.4183,-243.8968,wrap,2,0
53,-121.6928,-242.8185,wrap,2,0
54,-123.9076,-241.6224,wrap,2,0
55,-126.0566,-240.3119,wrap,2,0
56,-128.134,-238.8906,wrap,2,0
57,-130.134,-237.3623,wrap,2,0
58,-132.0512,-235.7312,wrap,2,0
59,-133.8802,-234.0019,wrap,2,0
60,-135.6161,-232.1791,wrap,2,0
61,-137.254,-230.2678,wrap,2,0
62,-138.7895,-228.2733,wrap,2,0
63,-140.2183,-226.201,wrap,2,0
64,-141.5365,-224.0566,wrap,2,0
65,-142.7405,-221.8461,wrap,2,0
66,-143.8269,-219.5756,wrap,2,0
67,-144.7928,-217.2512,wrap,2,0
68,-145.6356,-214.8793,wrap,2,0
69,-146.3528,-212.4666,wrap,2,0
70,-146.9426,-210.0195,wrap,2,0
71,-147.4033,-207.5449,wrap,2,0
72,-147.7337,-205.0496,wrap,2,0
73,-147.9327,-202.5404,wrap,2,0
74,-148.0,-200.0242,wrap,2,0
75,-147.9353,-197.5079,wrap,2,0
76,-147.7387,-194.9985,wrap,2,0
77,-147.4109,-192.5028,wrap,2,0
78,-146.9527,-190.0277,wrap,2,0
79,-146.3654,-187.5801,wrap,2,0
80,-145.6505,-185.1666,wrap,2,0
81,-144.8102,-182.7939,wrap,2,0
82,-143.8466,-180.4686,wrap,2,0
83,-142.7624,-178.1969,wrap,2,0
