step,x,y,type,pole,arc_deg
0,0,0,start,0,0
1,57.0974,-69.5405,move,2,0
2,58.6432,-71.5271,wrap,2,658.08
3,67.707,-94.7043,wrap,2,0
4,63.9467,-119.3051,wrap,2,0
5,48.3732,-138.7164,wrap,2,0
6,25.1727,-147.7205,wrap,2,0
7,0.5817,-143.8968,wrap,2,0
8,-18.7895,-128.2733,wrap,2,0
9,-27.7337,-105.0496,wrap,2,0
10,-23.8466,-80.4686,wrap,2,0
11,-8.1732,-61.1378,wrap,2,0
12,15.0735,-52.2535,wrap,2,0
13,39.6444,-56.2039,wrap,2,0
14,58.9347,-71.9271,wrap,2,0
15,67.7591,-95.1966,wrap,2,0
16,63.7453,-119.7573,wrap,2,0
17,47.9724,-139.007,wrap,2,0
18,24.6802,-147.7713,wrap,2,0
19,0.13,-143.6942,wrap,2,0
20,-19.079,-127.8717,wrap,2,0
21,-27.7832,-104.5571,wrap,2,0
22,-23.6428,-80.0174,wrap,2,0
23,-7.7709,-60.8493,wrap,2,0
24,10.5864,-52.9321,wrap,2,0
25,260.5864,-2.9321,move,5,0
26,263.0729,-2.5025,wrap,5,647.65
27,287.8456,-5.4407,wrap,5,0
28,307.7982,-20.4145,wrap,5,0
29,317.5412,-43.3796,wrap,5,0
30,314.4432,-68.1328,wrap,5,0
31,299.3409,-87.9883,wrap,5,0
32,276.3135,-97.583,wrap,5,0
33,251.5807,-94.3253,wrap,5,0
34,231.8231,-79.0951,wrap,5,0
35,222.3773,-56.0062,wrap,5,0
36,225.7945,-31.295,wrap,5,0
37,241.1519,-11.6361,wrap,5,0
38,264.3012,-2.3395,wrap,5,0
39,288.9899,-5.9162,wrap,5,0
40,308.5492,-21.4001,wrap,5,0
41,317.6963,-44.609,wrap,5,0
42,313.9604,-69.274,wrap,5,0
43,298.3505,-88.733,wrap,5,0
44,275.0831,-97.7301,wrap,5,0
45,250.4427,-93.8351,wrap,5,0
46,231.0848,-78.1,wrap,5,0
47,222.2381,-54.7749,wrap,5,0
48,222.2936,-44.6993,wrap,5,0
49,247.2936,180.3007,move,4,0
50,247.6383,182.8017,wrap,4,578.66
51,257.9581,205.527,wrap,4,0
52,278.293,219.9986,wrap,4,0
53,303.145,222.3039,wrap,4,0
54,325.7948,211.8195,wrap,4,0
55,340.1186,191.3802,wrap,4,0
56,342.2436,166.5121,wrap,4,0
57,331.5952,143.9389,wrap,4,0
58,311.0525,129.7638,wrap,4,0
59,286.1697,127.8192,wrap,4,0
60,263.6743,138.6311,wrap,4,0
61,249.6485,159.276,wrap,4,0
62,247.8845,184.1723,wrap,4,0
63,258.8592,206.5887,wrap,4,0
64,279.6054,220.4643,wrap,4,0
65,304.5138,222.0477,wrap,4,0
66,326.85,210.9107,wrap,4,0
67,340.5748,190.0644,wrap,4,0
68,341.9775,165.1451,wrap,4,0
69,330.6787,142.8904,wrap,4,0
70,328.9411,141.0589,wrap,4,0
71,53.9411,-133.9411,move,2,0
72,52.116,-135.673,wrap,2,573.69
73,29.9472,-146.958,wrap,2,0
74,5.1067,-145.631,wrap,2,0
75,-15.7337,-132.0485,wrap,2,0
76,-26.9767,-109.8583,wrap,2,0
77,-25.6028,-85.0205,wrap,2,0
78,-11.9808,-64.2058,wrap,2,0
79,10.2305,-53.0047,wrap,2,0
80,35.0658,-54.4256,wrap,2,0
81,55.8547,-68.0869,wrap,2,0
82,67.0137,-90.3195,wrap,2,0
83,65.5458,-115.152,wrap,2,0
84,51.8452,-135.915,wrap,2,0
85,29.5916,-147.0319,wrap,2,0
86,4.7619,-145.517,wrap,2,0
87,-15.9751,-131.7772,wrap,2,0
88,-27.05,-109.5026,wrap,2,0
89,-25.4881,-84.6758,wrap,2,0
90,-11.7091,-63.9648,wrap,2,0
91,10.5864,-52.9321,wrap,2,0
92,260.5864,-2.9321,move,5,0
93,263.0729,-2.5025,wrap,5,647.65
94,287.8456,-5.4407,wrap,5,0
95,307.7982,-20.4145,wrap,5,0
96,317.5412,-43.3796,wrap,5,0
97,314.4432,-68.1328,wrap,5,0
98,299.3409,-87.9883,wrap,5,0
99,276.3135,-97.583,wrap,5,0
100,251.5807,-94.3253,wrap,5,0
101,231.8231,-79.0951,wrap,5,0
102,222.3773,-56.0062,wrap,5,0
103,225.7945,-31.295,wrap,5,0
104,241.1519,-11.6361,wrap,5,0
105,264.3012,-2.3395,wrap,5,0
106,288.9899,-5.9162,wrap,5,0
107,308.5492,-21.4001,wrap,5,0
108,317.6963,-44.609,wrap,5,0
109,313.9604,-69.274,wrap,5,0
110,298.3505,-88.733,wrap,5,0
111,275.0831,-97.7301,wrap,5,0
112,250.4427,-93.8351,wrap,5,0
113,231.0848,-78.1,wrap,5,0
